WEEK,YEAR,MONTH,WEEK_NUMBER,DATE
01-21,2021,1,1,10/01/2021
02-21,2021,1,2,17/01/2021
03-21,2021,1,3,24/01/2021
04-21,2021,1,4,31/01/2021
05-21,2021,2,5,07/02/2021
06-21,2021,2,6,14/02/2021
07-21,2021,2,7,21/02/2021
08-21,2021,2,8,28/02/2021
09-21,2021,3,9,07/03/2021
10-21,2021,3,10,14/03/2021
11-21,2021,3,11,21/03/2021
12-21,2021,3,12,28/03/2021
13-21,2021,3,13,04/04/2021
14-21,2021,4,14,11/04/2021
15-21,2021,4,15,18/04/2021
16-21,2021,4,16,25/04/2021
17-21,2021,4,17,02/05/2021
18-21,2021,5,18,09/05/2021
19-21,2021,5,19,16/05/2021
20-21,2021,5,20,23/05/2021
21-21,2021,5,21,30/05/2021
22-21,2021,6,22,06/06/2021
23-21,2021,6,23,13/06/2021
24-21,2021,6,24,20/06/2021
25-21,2021,6,25,27/06/2021
26-21,2021,6,26,04/07/2021
27-21,2021,7,27,11/07/2021
28-21,2021,7,28,18/07/2021
29-21,2021,7,29,25/07/2021
30-21,2021,7,30,01/08/2021
31-21,2021,8,31,08/08/2021
32-21,2021,8,32,15/08/2021
33-21,2021,8,33,22/08/2021
34-21,2021,8,34,29/08/2021
35-21,2021,9,35,05/09/2021
36-21,2021,9,36,12/09/2021
37-21,2021,9,37,19/09/2021
38-21,2021,9,38,26/09/2021
39-21,2021,9,39,03/10/2021
40-21,2021,10,40,10/10/2021
41-21,2021,10,41,17/10/2021
42-21,2021,10,42,24/10/2021
43-21,2021,10,43,31/10/2021
44-21,2021,11,44,07/11/2021
45-21,2021,11,45,14/11/2021
46-21,2021,11,46,21/11/2021
47-21,2021,11,47,28/11/2021
48-21,2021,12,48,05/12/2021
49-21,2021,12,49,12/12/2021
50-21,2021,12,50,19/12/2021
51-21,2021,12,51,26/12/2021
52-21,2021,12,52,02/01/2022
01-22,2022,1,1,09/01/2022
02-22,2022,1,2,16/01/2022
03-22,2022,1,3,23/01/2022
04-22,2022,1,4,30/01/2022
05-22,2022,2,5,06/02/2022
06-22,2022,2,6,13/02/2022
07-22,2022,2,7,20/02/2022
08-22,2022,2,8,27/02/2022
09-22,2022,3,9,06/03/2022
10-22,2022,3,10,13/03/2022
11-22,2022,3,11,20/03/2022
12-22,2022,3,12,27/03/2022
13-22,2022,4,13,03/04/2022
14-22,2022,4,14,10/04/2022
15-22,2022,4,15,17/04/2022
16-22,2022,4,16,24/04/2022
17-22,2022,5,17,01/05/2022
18-22,2022,5,18,08/05/2022
19-22,2022,5,19,15/05/2022
20-22,2022,5,20,22/05/2022
21-22,2022,5,21,29/05/2022
22-22,2022,6,22,05/06/2022
23-22,2022,6,23,12/06/2022
24-22,2022,6,24,19/06/2022
25-22,2022,6,25,26/06/2022
26-22,2022,7,26,03/07/2022
27-22,2022,7,27,10/07/2022
28-22,2022,7,28,17/07/2022
29-22,2022,7,29,24/07/2022
30-22,2022,7,30,31/07/2022
31-22,2022,8,31,07/08/2022
32-22,2022,8,32,14/08/2022
33-22,2022,8,33,21/08/2022
34-22,2022,8,34,28/08/2022
35-22,2022,9,35,04/09/2022
36-22,2022,9,36,11/09/2022
37-22,2022,9,37,18/09/2022
38-22,2022,9,38,25/09/2022
39-22,2022,10,39,02/10/2022
40-22,2022,10,40,09/10/2022
41-22,2022,10,41,16/10/2022
42-22,2022,10,42,23/10/2022
43-22,2022,10,43,30/10/2022
44-22,2022,11,44,06/11/2022
45-22,2022,11,45,13/11/2022
46-22,2022,11,46,20/11/2022
47-22,2022,11,47,27/11/2022
48-22,2022,12,48,04/12/2022
49-22,2022,12,49,11/12/2022
50-22,2022,12,50,18/12/2022
51-22,2022,12,51,25/12/2022
52-22,2022,1,52,01/01/2023
01-23,2023,1,1,09/01/2023
02-23,2023,1,2,16/01/2023
03-23,2023,1,3,23/01/2023
04-23,2023,1,4,30/01/2023
05-23,2023,2,5,06/02/2023
06-23,2023,2,6,13/02/2023
07-23,2023,2,7,20/02/2023
08-23,2023,2,8,27/02/2023
09-23,2023,3,9,06/03/2023
10-23,2023,3,10,13/03/2023
11-23,2023,3,11,20/03/2023
12-23,2023,3,12,27/03/2023
13-23,2023,4,13,03/04/2023
14-23,2023,4,14,10/04/2023
15-23,2023,4,15,17/04/2023
16-23,2023,4,16,24/04/2023
17-23,2023,5,17,01/05/2023
18-23,2023,5,18,08/05/2023
19-23,2023,5,19,15/05/2023
20-23,2023,5,20,22/05/2023
21-23,2023,5,21,29/05/2023
22-23,2023,6,22,05/06/2023
23-23,2023,6,23,12/06/2023
24-23,2023,6,24,19/06/2023
25-23,2023,6,25,26/06/2023
26-23,2023,7,26,03/07/2023
27-23,2023,7,27,10/07/2023
28-23,2023,7,28,17/07/2023
29-23,2023,7,29,24/07/2023
30-23,2023,7,30,31/07/2023
31-23,2023,8,31,07/08/2023
32-23,2023,8,32,14/08/2023
33-23,2023,8,33,21/08/2023
34-23,2023,8,34,28/08/2023
35-23,2023,9,35,04/09/2023
36-23,2023,9,36,11/09/2023
37-23,2023,9,37,18/09/2023
38-23,2023,9,38,25/09/2023
39-23,2023,10,39,02/10/2023
40-23,2023,10,40,09/10/2023
41-23,2023,10,41,16/10/2023
42-23,2023,10,42,23/10/2023
43-23,2023,10,43,30/10/2023
44-23,2023,11,44,06/11/2023
45-23,2023,11,45,13/11/2023
46-23,2023,11,46,20/11/2023
47-23,2023,11,47,27/11/2023
48-23,2023,12,48,04/12/2023
49-23,2023,12,49,11/12/2023
50-23,2023,12,50,18/12/2023
51-23,2023,12,51,25/12/2023
52-23,2023,1,52,01/01/2024
