CATEGORY,ATTR1,ATTR2,ATTR3,FORMAT,SEGMENT
1,CLORO,CLORO,BAMBINO,LIQUIDO,BLEACH
1,CLORO,CLORO,GERMICIDA,LIQUIDO,BLEACH
1,CLORO,CLORO,MASCOTAS,LIQUIDO,BLEACH
1,CLORO,CLORO,MULTIUSOS,GEL,BLEACH
1,CLORO,CLORO,MULTIUSOS,LIQUIDO,BLEACH
1,CLORO,CLORO,NO DEFINIDO,LIQUIDO,BLEACH
1,CLORO,CLORO,NO DEFINIDO,POLVO,BLEACH
1,CLORO,CLORO,OTR. TIPOS,LIQUIDO,BLEACH
1,CLORO,CLORO,OTR. TIPOS,POLVO,BLEACH
1,CLORO,CLORO,ROPA BEBE,LIQUIDO,BLEACH
1,CLORO,CLORO,,LIQUIDO,BLEACH
1,CLORO,MASCOTAS,MASCOTAS,LIQUIDO,BLEACH
1,CLORO,MULTIUSOS,MULTIUSOS,GEL,BLEACH
1,CLORO,NO DEFINIDO,NO DEFINIDO,LIQUIDO,BLEACH
1,PRELAVADOR,FABRIC TREATMENT,BLANCO,GEL,LIQUID & GEL
1,PRELAVADOR,FABRIC TREATMENT,BLANCO,POLVO,POWDER
1,PRELAVADOR,FABRIC TREATMENT,BLANCO,TOALLAS,OTHERS
1,PRELAVADOR,FABRIC TREATMENT,OTR. TIPOS,LIQUIDO,PRETREAT
1,PRELAVADOR,FABRIC TREATMENT,PRE LAVADOR,LIQUIDO,PRETREAT
1,PRELAVADOR,FABRIC TREATMENT,PRE LAVADOR,POLVO,POWDER
1,PRELAVADOR,FABRIC TREATMENT,QUITAMANCHAS,LIQUIDO,PRETREAT
1,PRELAVADOR,FABRIC TREATMENT,ROPA COLOR,LIQUIDO,PRETREAT
1,PRELAVADOR,FABRIC TREATMENT,ROSA,GEL,LIQUID & GEL
1,PRELAVADOR,FABRIC TREATMENT,ROSA,LIQUIDO,PRETREAT
1,PRELAVADOR,FABRIC TREATMENT,ROSA,POLVO,POWDER
1,SAFE BLEACH,FABRIC TREATMENT,BLANCO,BARRA,BAR
1,SAFE BLEACH,FABRIC TREATMENT,BLANCO,GEL,LIQUID & GEL
1,SAFE BLEACH,FABRIC TREATMENT,BLANCO,LIQUIDO,LIQUID & GEL
1,SAFE BLEACH,FABRIC TREATMENT,BLANCO,POLVO,POWDER
1,SAFE BLEACH,FABRIC TREATMENT,COLOR PODER VINAGRE,GEL,LIQUID & GEL
1,SAFE BLEACH,FABRIC TREATMENT,COLOR PODER VINAGRE,LIQUIDO,LIQUID & GEL
1,SAFE BLEACH,FABRIC TREATMENT,OTR. TIPOS,BARRA,BAR
1,SAFE BLEACH,FABRIC TREATMENT,OTR. TIPOS,GEL,LIQUID & GEL
1,SAFE BLEACH,FABRIC TREATMENT,OTR. TIPOS,LIQUIDO,LIQUID & GEL
1,SAFE BLEACH,FABRIC TREATMENT,OTR. TIPOS,POLVO,POWDER
1,SAFE BLEACH,FABRIC TREATMENT,PODER OXIGENO,GEL,LIQUID & GEL
1,SAFE BLEACH,FABRIC TREATMENT,PRE LAVADOR,BARRA,BAR
1,SAFE BLEACH,FABRIC TREATMENT,PRE LAVADOR,GEL,LIQUID & GEL
1,SAFE BLEACH,FABRIC TREATMENT,PRE LAVADOR,LIQUIDO,PRETREAT
1,SAFE BLEACH,FABRIC TREATMENT,PRE LAVADOR,POLVO,POWDER
1,SAFE BLEACH,FABRIC TREATMENT,QUITAMANCHAS,GEL,LIQUID & GEL
1,SAFE BLEACH,FABRIC TREATMENT,QUITAMANCHAS,LIQUIDO,LIQUID & GEL
1,SAFE BLEACH,FABRIC TREATMENT,QUITAMANCHAS,POLVO,POWDER
1,SAFE BLEACH,FABRIC TREATMENT,ROPA BLANCA,LIQUIDO,LIQUID & GEL
1,SAFE BLEACH,FABRIC TREATMENT,ROPA BLANCA,POLVO,POWDER
1,SAFE BLEACH,FABRIC TREATMENT,ROPA COLOR,LIQUIDO,LIQUID & GEL
1,SAFE BLEACH,FABRIC TREATMENT,ROPA COLOR,POLVO,POWDER
1,SAFE BLEACH,FABRIC TREATMENT,ROSA,BARRA,BAR
1,SAFE BLEACH,FABRIC TREATMENT,ROSA,GEL,LIQUID & GEL
1,SAFE BLEACH,FABRIC TREATMENT,ROSA,LIQUIDO,LIQUID & GEL
1,SAFE BLEACH,FABRIC TREATMENT,ROSA,POLVO,POWDER
1,SAFE BLEACH,PRE LAVADOR,PRE LAVADOR,GEL,PRETREAT
1,SANITIZANTE,SANITIZANTE,SANITIZANTE,LIQUIDO,SANITIZER
